Ad_ID,Property_Type,Location_Detail,Price,Area,Bedrooms,Bathrooms,Latitude,Longitude,Date_Added,Price per marla,Price per marla per bedroom,Location_specific,Locality
50730084,House,"Paragon City, Lahore",18000000,5,3,4,31.534067,74.453945,5/30/2025,3600000,1200000,Paragon City,Paragon City
52362301,House,"DHA Phase 6, DHA Defence, Lahore",85000000,20,5,6,31.471571,74.445906,5/30/2025,4250000,850000,DHA Phase 6, DHA Defence
52323930,House,"DHA Phase 6, DHA Defence, Lahore",79000000,20,5,6,31.471571,74.445906,5/30/2025,3950000,790000,DHA Phase 6, DHA Defence
51482530,House,"DHA Phase 1, DHA Defence, Lahore",72500000,20,5,6,31.483283,74.395723,5/30/2025,3625000,725000,DHA Phase 1, DHA Defence
52598438,House,"DHA Phase 8, DHA Defence, Lahore",76000000,20,5,6,31.494408,74.437666,5/30/2025,3800000,760000,DHA Phase 8, DHA Defence
52640458,House,"DHA Phase 5, DHA Defence, Lahore",68000000,10,4,5,31.462493,74.409342,5/30/2025,6800000,1700000,DHA Phase 5, DHA Defence
52629600,House,"DHA Phase 6, DHA Defence, Lahore",91000000,20,5,6,31.471571,74.445906,5/30/2025,4550000,910000,DHA Phase 6, DHA Defence
52490533,House,"DHA Phase 7, DHA Defence, Lahore",75500000,20,5,6,31.484893,74.472342,5/30/2025,3775000,755000,DHA Phase 7, DHA Defence
52337472,House,"DHA Phase 7, DHA Defence, Lahore",69500000,20,5,6,31.497848,74.476147,5/30/2025,3475000,695000,DHA Phase 7, DHA Defence
52640924,House,"DHA 9 Town, DHA Defence, Lahore",22000000,5,3,4,31.44082,74.438589,5/30/2025,4400000,1466666.667,DHA 9 Town, DHA Defence
52575559,House,"DHA Phase 8, DHA Defence, Lahore",155000000,40,5,6,31.521909,74.43748,5/30/2025,3875000,775000,DHA Phase 8, DHA Defence
52644057,House,"Green Cap Housing Society, Lahore",9000000,3,4,4,31.39867938,74.35496807,5/30/2025,3000000,750000,Green Cap Housing Society,Green Cap Housing Society
52563204,House,"Central Park - Block B, Central Park Housing Scheme, Lahore",78000000,20,5,6,31.314855,74.386876,5/30/2025,3900000,780000,Central Park - Block B, Central Park Housing Scheme
52622815,House,"DHA 9 Town, DHA Defence, Lahore",19500000,5,3,5,31.44082,74.438589,5/30/2025,3900000,1300000,DHA 9 Town, DHA Defence
52041149,House,"DHA Phase 6, DHA Defence, Lahore",149900000,20,5,6,31.481783,74.4625,5/30/2025,7495000,1499000,DHA Phase 6, DHA Defence
51148100,House,"DHA Phase 5, DHA Defence, Lahore",290000000,40,6,7,31.458686,74.406624,5/30/2025,7250000,1208333.333,DHA Phase 5, DHA Defence
52621303,House,"Formanites Housing Scheme, Lahore",32500000,10,5,6,31.447703,74.409313,5/30/2025,3250000,650000,Formanites Housing Scheme,Formanites Housing Scheme
52658386,House,"State Life Housing Society, Lahore",21000000,5,3,4,31.44558,74.401217,5/30/2025,4200000,1400000,State Life Housing Society,State Life Housing Society
52543682,Flat,"Chahar Bagh Enclave, Theri Road, Lahore",9489000,2,1,2,31.61688202,74.48111585,5/30/2025,4744500,4744500,Chahar Bagh Enclave, Theri Road
50904299,House,"Paragon City, Lahore",36000000,10,5,6,31.534067,74.453945,5/30/2025,3600000,720000,Paragon City,Paragon City
52448423,House,"Park View City, Lahore",31500000,10,5,6,31.453414,74.202003,5/30/2025,3150000,630000,Park View City,Park View City
52655095,House,"DHA 9 Town, DHA Defence, Lahore",22400000,5,3,4,31.44082,74.438589,5/30/2025,4480000,1493333.333,DHA 9 Town, DHA Defence
52655087,House,"DHA 9 Town, DHA Defence, Lahore",22300000,5,3,4,31.44082,74.438589,5/30/2025,4460000,1486666.667,DHA 9 Town, DHA Defence
52508850,House,"Al-Kabir Town, Raiwind Road, Lahore",18500000,5,3,4,31.326034,74.213877,5/30/2025,3700000,1233333.333,Al-Kabir Town, Raiwind Road
52655096,House,"DHA 9 Town, DHA Defence, Lahore",22500000,5,3,4,31.44082,74.438589,5/30/2025,4500000,1500000,DHA 9 Town, DHA Defence
52650289,House,"Wapda Town, Lahore",62500000,20,6,6,31.434522,74.266148,5/30/2025,3125000,520833.3333,Wapda Town,Wapda Town
38695279,House,"DHA Phase 6, DHA Defence, Lahore",93500000,20,5,6,31.471571,74.445906,5/30/2025,4675000,935000,DHA Phase 6, DHA Defence
38805343,House,"DHA Phase 5, DHA Defence, Lahore",105000000,20,6,7,31.462493,74.409342,5/30/2025,5250000,875000,DHA Phase 5, DHA Defence
52428387,House,"DHA Phase 4, DHA Defence, Lahore",95000000,28,6,7,31.453634,74.391518,5/30/2025,3392857.143,565476.1905,DHA Phase 4, DHA Defence
52354607,House,"Park View City, Lahore",16000000,5,4,5,31.453414,74.202003,5/30/2025,3200000,800000,Park View City,Park View City
52041044,House,"DHA Phase 6, DHA Defence, Lahore",99900000,20,7,7,31.468862,74.463358,5/30/2025,4995000,713571.4286,DHA Phase 6, DHA Defence
52005951,House,"DHA Phase 7, DHA Defence, Lahore",75000000,20,5,6,31.484454,74.483871,5/30/2025,3750000,750000,DHA Phase 7, DHA Defence
52658145,House,"DHA Phase 7, DHA Defence, Lahore",38000000,10,5,6,31.45217,74.489794,5/30/2025,3800000,760000,DHA Phase 7, DHA Defence
52601147,House,"DHA Phase 6, DHA Defence, Lahore",750000000,60,6,7,31.471571,74.445906,5/30/2025,12500000,2083333.333,DHA Phase 6, DHA Defence
52107664,House,"DHA Phase 6, DHA Defence, Lahore",79000000,20,3,4,31.471132,74.445162,5/30/2025,3950000,1316666.667,DHA Phase 6, DHA Defence
52376492,House,"DHA Phase 7, DHA Defence, Lahore",58000000,20,6,6,31.440051,74.47614,5/30/2025,2900000,483333.3333,DHA Phase 7, DHA Defence
52594990,House,"DHA Phase 6, DHA Defence, Lahore",78600000,20,7,7,31.468862,74.463358,5/30/2025,3930000,561428.5714,DHA Phase 6, DHA Defence
52164477,House,"DHA Phase 6, DHA Defence, Lahore",160000000,20,5,6,31.48116,74.456792,5/30/2025,8000000,1600000,DHA Phase 6, DHA Defence
51104488,House,"DHA Phase 1, DHA Defence, Lahore",142500000,40,5,6,31.483649,74.38272,5/30/2025,3562500,712500,DHA Phase 1, DHA Defence
